
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-4-1,77,57,36,35,25,17,64,38,12,30.12,29.99,29.85,10,10,10,33,10,43,0.00,5,,228<br />
2014-4-2,61,52,43,44,39,31,96,66,36,30.18,30.12,30.04,10,9,5,23,6,30,0.30,8,Rain,281<br />
2014-4-3,59,52,44,50,40,28,96,69,41,30.13,29.97,29.81,10,7,2,16,7,22,0.47,8,Rain,78<br />
2014-4-4,65,53,41,58,52,34,100,80,60,29.83,29.68,29.54,10,6,2,32,10,51,0.68,8,Rain,176<br />
2014-4-5,45,39,32,35,27,25,76,61,45,30.24,30.05,29.80,10,10,10,25,12,31,T,6,,284<br />
2014-4-6,57,42,26,28,22,17,85,54,22,30.26,30.18,30.04,10,10,9,14,5,20,0.00,4,,91<br />
2014-4-7,54,50,45,47,38,22,100,66,32,30.01,29.74,29.42,10,8,2,21,9,25,0.47,8,Rain-Thunderstorm,108<br />
2014-4-8,59,51,42,51,38,24,77,55,33,29.78,29.58,29.37,10,10,3,32,14,44,0.01,6,Rain-Thunderstorm,271<br />
2014-4-9,58,48,38,34,27,21,65,48,30,30.08,29.92,29.77,10,10,10,24,9,30,0.00,4,,310<br />
2014-4-10,71,55,38,31,28,23,59,40,20,30.11,30.00,29.84,10,10,10,26,12,37,0.00,4,,202<br />
2014-4-11,67,54,41,52,48,32,93,61,28,30.13,30.02,29.90,10,9,6,26,8,32,0.12,7,Fog-Rain,256<br />
2014-4-12,74,55,35,45,36,28,100,60,19,30.24,30.14,29.96,10,5,0,17,5,23,0.00,5,Fog,155<br />
2014-4-13,82,72,61,51,46,38,56,42,28,29.99,29.92,29.83,10,10,10,25,10,37,T,7,,193<br />
2014-4-14,75,68,61,59,52,43,84,60,35,29.81,29.74,29.63,10,10,7,29,11,42,0.10,7,Rain,194<br />
2014-4-15,64,46,27,54,34,19,96,80,63,30.23,29.85,29.53,10,6,1,26,16,34,0.25,8,Rain-Snow,304<br />
2014-4-16,44,35,25,21,16,11,81,55,29,30.52,30.42,30.24,10,10,10,13,6,17,0.00,4,,45<br />
2014-4-17,64,50,35,46,22,16,48,36,23,30.50,30.43,30.36,10,10,10,17,10,23,0.00,5,,132<br />
2014-4-18,69,55,41,37,30,26,57,41,24,30.37,30.29,30.22,10,10,10,17,6,22,0.00,7,,131<br />
2014-4-19,64,54,44,39,30,17,83,50,16,30.39,30.32,30.26,10,10,10,15,7,20,0.00,6,,19<br />
2014-4-20,73,58,42,31,25,19,58,36,14,30.38,30.28,30.17,10,10,10,15,6,22,0.00,5,,118<br />
2014-4-21,78,62,46,37,31,28,54,35,16,30.17,30.00,29.81,10,10,10,15,5,20,0.00,6,,195<br />
2014-4-22,69,57,45,57,47,34,93,64,34,29.84,29.71,29.62,10,8,4,26,12,35,0.36,7,Rain-Thunderstorm,282<br />
2014-4-23,49,43,36,38,31,16,79,60,40,30.14,30.00,29.83,10,10,10,23,14,30,T,6,Rain,315<br />
2014-4-24,60,45,30,22,18,15,63,41,18,30.22,30.11,29.96,10,10,10,9,4,12,0.00,5,,26<br />
2014-4-25,64,55,45,56,41,22,93,63,32,29.93,29.77,29.65,10,8,3,29,9,35,0.37,8,Rain,178<br />
2014-4-26,70,55,40,43,39,33,96,64,31,30.05,29.89,29.80,10,8,4,38,13,48,T,3,,280<br />
2014-4-27,63,49,35,34,32,27,92,59,25,30.17,30.09,30.04,10,10,10,15,5,18,0.00,2,,358<br />
2014-4-28,58,52,45,51,41,31,96,69,41,30.04,29.94,29.84,10,8,3,17,10,23,0.35,8,Rain,87<br />
2014-4-29,59,55,50,50,48,44,96,82,67,29.99,29.88,29.78,10,9,5,25,17,37,0.20,7,Rain,122<br />
2014-4-30,59,54,49,56,51,44,100,89,77,29.98,29.87,29.77,10,7,0,16,8,20,0.79,8,Rain,107<br />
