
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-8-1,83,71,58,63,59,55,97,69,40,30.17,30.14,30.09,10,9,6,15,3,19,0.00,4,,149<br />
2014-8-2,80,73,65,65,62,57,93,71,49,30.15,30.10,30.07,10,9,5,23,5,27,0.02,7,Rain-Thunderstorm,96<br />
2014-8-3,75,70,64,65,64,62,100,84,68,30.14,30.11,30.09,10,7,1,17,5,22,0.12,7,Rain-Thunderstorm,324<br />
2014-8-4,82,70,57,64,60,57,100,73,45,30.17,30.13,30.09,10,6,0,8,2,11,0.00,2,Fog,190<br />
2014-8-5,82,72,61,66,62,59,100,75,49,30.10,30.07,30.03,10,9,6,22,3,26,0.03,6,Rain-Thunderstorm,288<br />
2014-8-6,80,72,63,64,60,51,93,70,46,30.04,30.01,29.96,10,8,3,17,7,21,T,6,Rain,333<br />
2014-8-7,78,67,55,59,56,51,100,71,42,30.12,30.09,30.05,10,9,7,14,5,18,0.00,1,,348<br />
2014-8-8,79,67,55,56,54,50,93,66,39,30.17,30.13,30.09,10,10,8,14,5,17,0.00,5,,57<br />
2014-8-9,82,71,59,63,60,54,87,69,51,30.13,30.10,30.06,10,10,10,12,4,14,0.00,3,,69<br />
2014-8-10,84,74,63,64,62,60,93,69,44,30.12,30.08,30.03,10,10,6,16,7,24,0.00,4,,115<br />
2014-8-11,72,67,62,66,63,58,100,87,73,30.06,29.97,29.87,10,8,1,16,9,21,0.83,8,Rain-Thunderstorm,135<br />
2014-8-12,80,72,64,68,66,62,100,79,58,29.86,29.80,29.75,10,9,2,28,7,33,0.93,7,Rain-Thunderstorm,197<br />
2014-8-13,73,64,55,63,58,50,93,71,49,29.99,29.91,29.84,10,9,2,20,9,25,0.13,6,Rain,276<br />
2014-8-14,72,62,52,57,49,43,87,61,35,30.03,29.98,29.93,10,10,10,24,9,29,T,3,,306<br />
2014-8-15,71,61,50,52,48,46,86,65,44,30.07,30.04,30.00,10,10,10,20,6,25,0.00,5,,281<br />
2014-8-16,77,63,48,60,50,45,100,67,33,30.05,30.01,29.96,10,10,10,16,5,22,0.00,3,,241<br />
2014-8-17,78,72,66,66,63,61,93,75,56,30.03,29.98,29.94,10,9,4,12,5,17,0.01,7,Rain,299<br />
2014-8-18,84,74,64,66,62,60,87,69,51,29.98,29.89,29.82,10,10,7,14,5,16,0.01,6,,42<br />
2014-8-19,85,75,65,66,63,60,87,66,44,29.89,29.86,29.83,10,10,10,25,3,30,0.00,4,,289<br />
2014-8-20,81,73,64,69,65,63,100,79,58,30.01,29.94,29.88,10,8,2,24,6,30,1.80,7,Rain-Thunderstorm,161<br />
2014-8-21,78,71,64,68,66,64,100,85,69,30.08,30.04,30.00,10,9,6,20,5,25,T,6,Fog,222<br />
2014-8-22,82,75,67,72,68,66,100,84,67,30.04,30.00,29.95,10,7,1,9,2,13,0.09,7,Rain-Thunderstorm,223<br />
2014-8-23,81,74,67,70,67,59,100,75,49,30.07,30.01,29.97,10,5,0,15,6,18,0.00,4,Fog,347<br />
2014-8-24,79,72,64,64,62,59,93,76,58,30.14,30.10,30.06,10,10,10,14,7,18,0.00,4,,103<br />
2014-8-25,80,70,60,61,59,58,90,71,52,30.20,30.16,30.13,10,10,10,12,5,17,0.00,4,,139<br />
2014-8-26,83,71,58,65,61,56,90,71,51,30.20,30.15,30.06,10,10,10,9,3,12,0.00,1,,203<br />
2014-8-27,85,76,66,70,66,59,87,73,59,30.11,30.07,29.99,10,10,10,18,6,25,0.01,5,,331<br />
2014-8-28,74,67,59,59,54,50,90,68,46,30.18,30.11,30.06,10,10,10,16,8,21,0.00,2,,348<br />
2014-8-29,79,65,50,57,52,48,93,64,35,30.20,30.16,30.11,10,10,10,9,3,12,0.00,2,,130<br />
2014-8-30,88,75,62,68,64,56,90,68,46,30.14,30.09,30.03,10,10,10,16,6,21,T,5,,183<br />
2014-8-31,76,73,69,70,69,67,100,87,74,30.08,30.05,30.02,10,7,0,14,6,20,1.07,8,Fog-Rain-Thunderstorm,203<br />
