
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-12-1,62,45,28,54,37,18,96,80,63,30.58,30.32,30.04,10,8,3,21,11,25,0.23,8,Rain-Snow,331<br />
2014-12-2,42,34,26,40,30,18,100,82,63,30.56,30.32,30.12,10,5,0,14,7,19,0.11,8,Rain,103<br />
2014-12-3,42,36,30,41,33,27,100,85,70,30.38,30.19,30.08,10,8,2,21,8,30,T,6,Rain,248<br />
2014-12-4,35,31,26,28,25,22,100,78,56,30.49,30.43,30.36,10,7,3,8,3,12,0.00,6,,154<br />
2014-12-5,42,36,30,42,35,24,100,86,72,30.39,30.29,30.17,10,4,0,8,4,9,0.54,8,Rain,90<br />
2014-12-6,43,39,34,42,37,25,100,88,75,30.50,30.22,30.05,10,5,0,22,10,29,0.96,8,Rain,2<br />
2014-12-7,40,34,28,24,21,17,78,61,44,30.65,30.59,30.51,10,10,10,17,7,23,0.00,5,,39<br />
2014-12-8,40,35,29,27,18,13,70,52,33,30.51,30.36,30.20,10,10,10,18,8,23,0.00,8,,121<br />
2014-12-9,45,39,32,35,32,28,89,77,65,30.19,30.11,30.05,10,10,7,18,7,23,T,7,,2<br />
2014-12-10,37,33,29,34,29,23,92,82,72,30.11,30.06,29.99,10,7,4,25,17,31,T,8,Rain-Snow,314<br />
2014-12-11,33,29,25,23,18,9,81,58,35,30.11,30.02,29.93,10,10,9,24,15,32,T,8,Snow,272<br />
2014-12-12,32,29,26,25,23,21,85,77,69,30.26,30.20,30.10,10,6,4,18,9,23,0.00,8,,258<br />
2014-12-13,37,32,27,36,29,25,100,93,85,30.27,30.20,30.06,3,2,1,14,7,18,T,8,Rain,244<br />
2014-12-14,44,41,37,42,40,36,100,95,89,30.13,30.10,30.04,8,2,1,13,7,21,T,8,Rain,247<br />
2014-12-15,48,42,35,43,41,36,100,88,76,30.14,30.06,29.93,7,3,0,12,4,14,T,8,Rain,144<br />
2014-12-16,53,45,36,47,41,37,100,89,77,29.96,29.85,29.75,10,7,2,18,8,25,0.12,8,Fog-Rain,203<br />
2014-12-17,42,35,28,39,29,20,92,78,63,30.18,30.07,29.92,10,10,6,22,13,29,T,8,Snow,263<br />
2014-12-18,29,29,28,22,21,19,75,72,69,30.26,30.22,30.13,10,9,6,18,9,23,T,8,Snow,270<br />
2014-12-19,31,29,27,28,24,20,100,85,69,30.34,30.25,30.13,10,6,0,12,7,15,T,8,Snow,281<br />
2014-12-20,32,29,26,22,20,19,75,69,63,30.34,30.31,30.21,10,10,10,8,3,11,0.00,7,,3<br />
2014-12-21,33,29,25,22,21,20,81,71,61,30.39,30.32,30.22,10,10,10,7,2,13,0.00,7,,49<br />
2014-12-22,46,35,23,33,27,21,96,77,58,30.22,30.11,29.99,10,8,5,14,7,19,0.00,6,,104<br />
2014-12-23,53,46,39,49,43,35,100,90,79,29.96,29.91,29.86,10,8,2,16,6,18,0.22,8,Rain,113<br />
2014-12-24,60,51,42,53,48,36,100,89,78,29.84,29.61,29.36,10,8,1,32,7,49,0.13,8,Rain,139<br />
2014-12-25,42,40,37,37,31,28,85,75,64,30.26,29.98,29.63,10,10,7,20,11,28,T,8,Rain,251<br />
2014-12-26,49,40,30,32,30,27,85,68,50,30.35,30.27,30.21,10,10,9,14,5,19,0.00,4,,200<br />
2014-12-27,57,45,33,41,30,22,89,59,28,30.29,30.17,30.02,10,10,5,18,5,23,0.06,7,Rain,198<br />
2014-12-28,46,40,34,45,36,29,93,85,76,30.20,30.06,29.94,10,8,2,20,8,24,0.26,8,Rain,296<br />
2014-12-29,36,31,25,29,23,16,85,72,58,30.38,30.28,30.21,10,10,10,13,7,18,0.00,7,,346<br />
2014-12-30,32,26,19,18,15,9,0,0,0,30.52,30.47,30.39,10,10,10,15,7,,T,5,,318<br />
2014-12-31,25,21,17,11,6,2,67,53,39,30.50,30.40,30.25,10,10,9,17,11,26,T,3,Snow,259<br />
