
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-2-1,37,32,26,36,28,17,100,82,63,30.25,29.98,29.50,10,3,0,16,6,23,0.52,8,Rain-Snow,143<br />
2015-2-2,39,25,11,39,19,5,100,84,67,30.25,29.80,29.39,10,6,0,31,15,38,0.13,7,Fog-Rain-Snow,286<br />
2015-2-3,27,17,7,18,9,3,80,68,55,30.36,30.29,30.23,10,10,2,17,8,24,T,6,Snow,224<br />
2015-2-4,42,34,25,32,24,19,96,71,46,30.21,30.07,29.96,10,7,2,23,9,30,0.07,7,Rain-Snow,238<br />
2015-2-5,25,16,6,19,4,-4,88,65,42,30.41,30.30,30.08,10,8,2,22,12,29,0.02,4,Snow,317<br />
2015-2-6,28,17,5,12,6,-2,76,61,46,30.39,30.28,30.20,10,10,10,21,9,27,0.00,6,,227<br />
2015-2-7,47,36,24,27,19,11,64,51,37,30.19,30.03,29.88,10,10,10,17,6,24,0.00,8,,195<br />
2015-2-8,53,45,36,43,34,25,100,70,39,29.86,29.79,29.74,10,8,0,17,6,24,0.05,8,Fog-Rain,224<br />
2015-2-9,45,33,20,44,25,15,100,87,74,30.12,29.92,29.73,10,7,0,17,10,25,0.02,8,Fog-Rain-Snow,336<br />
2015-2-10,32,26,19,18,16,14,84,71,58,30.22,30.18,30.08,10,10,7,15,8,21,T,5,Snow,344<br />
2015-2-11,37,27,16,31,22,14,92,76,59,30.17,30.03,29.87,10,8,3,15,5,20,0.01,7,Snow,232<br />
2015-2-12,33,19,5,30,14,-4,92,78,63,30.35,30.03,29.83,10,5,0,29,18,36,0.02,7,Snow,315<br />
2015-2-13,20,11,1,8,0,-4,87,65,43,30.41,30.27,29.98,10,10,2,16,8,21,T,3,Snow,244<br />
2015-2-14,30,17,3,23,12,-6,92,73,54,30.09,29.75,29.43,10,4,0,38,16,49,0.18,8,Snow,262<br />
2015-2-15,6,1,-4,-6,-9,-12,79,67,54,30.53,30.36,30.02,10,6,2,28,16,34,T,5,Snow,306<br />
2015-2-16,10,2,-6,6,-4,-11,83,67,50,30.49,30.23,29.89,10,7,1,13,4,16,0.03,8,Snow,58<br />
2015-2-17,20,11,2,6,0,-5,96,66,35,30.01,29.96,29.82,10,9,4,15,7,19,T,5,Snow,268<br />
2015-2-18,20,13,6,16,9,-2,84,69,54,30.01,29.82,29.64,10,5,0,29,10,33,0.08,7,Snow,238<br />
2015-2-19,7,2,-4,-1,-6,-12,83,69,55,30.32,30.15,30.01,10,8,1,28,14,35,T,5,Snow,290<br />
2015-2-20,12,1,-10,-5,-9,-12,92,67,41,30.49,30.41,30.29,10,10,8,15,6,19,T,2,,223<br />
2015-2-21,34,22,10,33,20,-6,96,73,50,30.26,30.06,29.90,10,4,0,10,6,14,0.42,8,Snow,170<br />
2015-2-22,33,28,22,33,24,16,100,82,63,30.40,30.24,30.04,10,6,0,20,8,24,T,8,Fog-Snow,316<br />
2015-2-23,22,11,-1,14,-2,-12,77,58,38,30.60,30.51,30.36,10,9,4,22,11,26,T,4,Snow,326<br />
2015-2-24,27,9,-9,6,-5,-13,83,55,27,30.42,30.07,29.82,10,10,7,22,8,32,T,5,Snow,213<br />
2015-2-25,33,27,21,15,12,7,68,55,41,30.02,29.92,29.76,10,10,9,21,10,24,T,7,Snow,292<br />
2015-2-26,22,16,10,14,9,5,83,67,51,30.31,30.05,29.93,10,7,1,16,10,20,0.20,8,Snow,349<br />
2015-2-27,17,10,2,5,-1,-4,91,67,42,30.74,30.54,30.32,10,9,7,15,7,20,0.00,2,Snow,317<br />
2015-2-28,27,13,-1,2,-1,-6,80,58,35,30.85,30.75,30.59,10,10,10,9,3,12,0.00,4,,81<br />
