
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,35,28,20,16,9,3,51,47,42,30.24,30.16,30.05,10,10,10,25,13,35,0.00,2,,231<br />
2015-1-2,37,31,24,19,18,17,75,61,47,30.44,30.33,30.19,10,10,10,14,6,19,0.00,5,,251<br />
2015-1-3,58,41,24,52,35,19,100,85,69,30.40,30.12,29.86,10,6,0,15,7,22,0.56,8,Fog-Rain,134<br />
2015-1-4,61,47,32,54,43,23,93,79,65,30.16,29.84,29.67,10,9,3,29,16,39,0.06,8,Rain-Snow,244<br />
2015-1-5,32,23,14,23,9,-1,88,69,49,30.53,30.39,30.17,10,8,1,30,15,36,0.01,7,Snow,280<br />
2015-1-6,20,17,13,13,10,2,92,73,53,30.42,30.24,30.10,10,4,0,18,7,27,0.16,7,Snow,249<br />
2015-1-7,15,6,2,6,1,-8,0,0,0,30.47,30.26,30.06,10,5,0,23,15,37,0.01,7,Snow,292<br />
2015-1-8,21,10,-1,10,-3,-11,80,63,45,30.60,30.34,29.92,10,9,1,22,11,35,T,6,Snow,220<br />
2015-1-9,21,13,5,16,8,-5,84,67,49,30.43,30.11,29.89,10,6,0,28,15,36,0.08,7,Snow,256<br />
2015-1-10,16,8,0,-2,-5,-7,79,60,40,30.62,30.55,30.45,10,10,10,17,7,22,T,2,,218<br />
2015-1-11,38,24,9,26,8,-2,66,47,27,30.56,30.49,30.40,10,10,7,14,6,18,0.02,8,Rain-Snow,168<br />
2015-1-12,36,31,26,35,31,20,100,88,75,30.45,30.28,30.16,10,5,1,22,9,27,0.16,8,Rain-Snow,316<br />
2015-1-13,26,20,14,19,8,3,81,62,42,30.68,30.57,30.45,10,10,6,22,9,25,T,4,Snow,32<br />
2015-1-14,24,18,11,15,9,3,80,67,54,30.43,30.34,30.27,10,10,10,9,3,11,T,7,,288<br />
2015-1-15,31,24,16,19,15,12,80,67,53,30.29,30.17,30.04,10,10,7,16,7,21,T,5,Snow,224<br />
2015-1-16,34,28,22,23,19,13,75,65,54,30.31,30.12,29.94,10,9,5,22,12,27,T,7,Snow,284<br />
2015-1-17,50,34,17,27,19,11,74,55,36,30.30,30.11,29.88,10,10,9,17,7,25,0.00,3,,157<br />
2015-1-18,46,40,34,36,30,27,85,67,49,29.92,29.84,29.74,10,10,7,24,10,33,0.02,8,Rain-Snow,241<br />
2015-1-19,38,33,28,29,27,24,82,71,59,30.05,29.99,29.93,10,9,7,16,7,19,T,8,Snow,273<br />
2015-1-20,34,31,28,32,29,25,92,89,85,30.07,29.98,29.90,10,4,0,7,1,10,0.09,8,Snow,352<br />
2015-1-21,36,34,31,33,31,29,100,91,82,30.14,30.05,29.96,10,4,0,14,5,20,0.16,8,Snow,139<br />
2015-1-22,34,32,29,32,27,24,92,82,72,30.46,30.32,30.10,10,8,5,15,8,19,T,8,Snow,293<br />
2015-1-23,34,31,27,29,23,21,85,76,66,30.43,30.17,29.80,10,8,2,8,2,12,0.01,8,Snow,205<br />
2015-1-24,32,29,25,30,26,21,100,88,75,29.83,29.70,29.63,6,4,1,17,8,20,0.04,8,Snow,278<br />
2015-1-25,35,32,29,33,31,28,100,95,89,29.86,29.81,29.74,5,3,0,13,6,19,0.26,8,Snow,283<br />
2015-1-26,29,25,20,28,23,16,100,91,81,29.92,29.78,29.69,10,4,0,16,9,19,0.27,8,Snow,351<br />
2015-1-27,22,19,16,16,15,11,84,79,73,30.21,30.01,29.85,10,6,2,17,11,22,0.04,8,Snow,320<br />
2015-1-28,24,17,10,11,9,7,92,71,50,30.43,30.33,30.15,10,9,2,10,5,14,T,5,Snow,251<br />
2015-1-29,39,28,16,37,24,11,92,73,53,30.30,29.98,29.78,10,7,1,25,8,35,0.22,8,Rain-Snow,181<br />
2015-1-30,31,20,9,28,15,3,100,82,64,30.47,30.24,29.97,10,4,0,29,16,36,0.08,7,Snow,308<br />
2015-1-31,28,16,4,17,10,1,88,71,53,30.47,30.38,30.27,10,10,10,14,6,19,0.00,4,,234<br />
