
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-7-1,88,80,71,72,70,68,90,73,55,29.91,29.85,29.80,10,10,9,17,9,25,0.00,5,,203<br />
2014-7-2,86,78,70,72,65,61,79,64,48,29.95,29.90,29.83,10,10,9,16,7,21,T,4,,243<br />
2014-7-3,80,72,63,68,62,54,90,67,43,30.11,30.00,29.94,10,10,3,26,9,33,0.20,5,Rain,298<br />
2014-7-4,74,66,57,57,50,43,93,64,35,30.30,30.21,30.11,10,10,10,23,12,28,0.00,2,,335<br />
2014-7-5,78,64,50,53,48,42,83,59,35,30.34,30.28,30.18,10,10,10,12,3,15,0.00,3,,284<br />
2014-7-6,80,68,55,61,56,51,86,61,36,30.17,30.07,29.94,10,10,10,16,4,20,T,7,Rain,205<br />
2014-7-7,85,77,68,69,64,61,81,66,51,29.92,29.85,29.79,10,10,7,23,11,32,0.05,6,Rain-Thunderstorm,225<br />
2014-7-8,81,75,68,71,66,61,0,0,0,29.87,29.77,29.68,10,9,1,21,10,32,0.81,7,Rain-Thunderstorm,226<br />
2014-7-9,81,73,64,63,59,55,87,65,42,30.02,29.91,29.84,10,10,10,20,8,24,0.11,3,,258<br />
2014-7-10,81,72,62,63,59,55,93,68,42,30.16,30.10,30.04,10,10,5,13,4,17,0.02,4,Fog-Rain,34<br />
2014-7-11,84,72,60,63,59,56,87,64,40,30.22,30.19,30.16,10,10,10,9,2,13,0.00,2,,272<br />
2014-7-12,86,75,64,64,61,57,87,64,40,30.20,30.16,30.07,10,10,8,15,4,20,0.00,6,,225<br />
2014-7-13,83,77,71,72,67,63,90,76,62,30.05,29.96,29.90,10,10,7,18,7,30,0.22,7,Rain-Thunderstorm,209<br />
2014-7-14,81,75,68,72,69,66,93,78,62,29.95,29.90,29.83,10,8,1,22,5,26,0.85,7,Rain,227<br />
2014-7-15,79,71,62,70,61,51,97,69,40,29.89,29.81,29.76,10,9,6,20,8,24,0.00,5,,250<br />
2014-7-16,73,64,55,55,52,49,86,67,47,30.03,29.95,29.89,10,10,10,15,7,19,0.00,3,,277<br />
2014-7-17,75,64,52,54,52,50,96,70,43,30.19,30.11,30.03,10,10,10,13,5,17,0.00,2,,314<br />
2014-7-18,77,66,55,61,55,53,86,66,46,30.26,30.22,30.19,10,10,9,10,4,14,0.04,7,Rain,83<br />
2014-7-19,68,66,63,65,63,61,100,94,87,30.22,30.16,30.12,9,4,1,14,6,16,1.07,8,Rain,138<br />
2014-7-20,80,72,64,67,64,62,93,74,54,30.13,30.10,30.06,10,8,5,10,4,19,T,7,Rain,120<br />
2014-7-21,85,76,67,68,66,64,87,71,55,30.17,30.13,30.08,10,10,10,8,2,11,0.00,4,,194<br />
2014-7-22,88,78,67,70,68,64,97,73,48,30.16,30.10,30.03,10,10,7,12,3,13,0.00,1,,215<br />
2014-7-23,84,75,65,71,67,60,87,71,55,30.03,29.98,29.94,10,9,7,21,10,24,0.00,6,,282<br />
2014-7-24,77,69,61,60,55,50,90,67,43,30.08,30.02,29.99,10,10,10,17,10,23,0.00,4,,355<br />
2014-7-25,79,65,51,56,50,40,89,58,26,30.14,30.07,30.01,10,10,10,12,3,15,T,3,,268<br />
2014-7-26,83,73,63,67,62,57,93,70,46,30.03,29.96,29.88,10,8,1,16,8,20,1.06,7,Rain-Thunderstorm,194<br />
2014-7-27,82,74,66,70,67,65,93,78,63,29.89,29.77,29.65,10,8,2,20,7,29,0.46,7,Rain-Thunderstorm,216<br />
2014-7-28,72,64,55,64,59,52,93,86,78,29.97,29.78,29.63,10,9,1,29,12,34,0.16,7,Rain,294<br />
2014-7-29,69,60,51,53,51,48,96,74,52,30.06,30.02,29.96,10,10,10,10,5,21,0.00,6,,278<br />
2014-7-30,73,63,53,60,55,50,90,74,57,30.07,30.05,30.02,10,10,6,18,5,24,0.14,4,Rain-Thunderstorm,221<br />
2014-7-31,78,68,57,63,59,55,93,72,50,30.14,30.09,30.05,10,9,5,14,5,21,0.00,4,Fog,221<br />
