
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-6-1,83,70,56,57,52,46,72,56,40,30.27,30.20,30.11,10,10,10,14,6,19,0.00,3,,151<br />
2014-6-2,79,72,65,65,62,56,79,71,62,30.16,30.11,30.02,10,10,10,15,8,21,0.00,7,,204<br />
2014-6-3,83,73,63,67,64,54,84,68,51,30.01,29.94,29.87,10,10,8,20,9,25,0.06,6,Rain-Thunderstorm,234<br />
2014-6-4,75,66,57,63,57,53,93,71,49,29.95,29.86,29.72,10,9,4,17,6,21,0.35,6,Rain,56<br />
2014-6-5,70,62,53,56,51,43,93,68,42,29.97,29.87,29.74,10,10,4,21,9,26,0.01,4,Rain,328<br />
2014-6-6,75,62,48,52,48,45,86,62,38,30.06,30.01,29.95,10,10,10,12,5,16,0.00,2,,353<br />
2014-6-7,80,66,51,54,50,46,89,61,32,30.10,30.02,29.94,10,10,10,10,2,14,0.00,2,,156<br />
2014-6-8,79,69,59,67,61,53,90,76,62,29.93,29.85,29.78,10,9,6,20,8,26,0.06,7,Rain-Thunderstorm,239<br />
2014-6-9,69,65,61,61,59,57,90,82,73,29.98,29.95,29.91,10,10,8,12,4,14,T,8,,8<br />
2014-6-10,74,66,58,62,60,58,97,81,64,29.98,29.95,29.93,10,6,1,8,2,9,0.00,7,Fog,169<br />
2014-6-11,81,72,63,68,64,61,93,76,58,29.94,29.89,29.83,10,10,1,22,7,29,0.28,8,Rain-Thunderstorm,166<br />
2014-6-12,80,73,66,68,65,63,93,76,58,29.88,29.84,29.80,10,9,5,17,7,20,0.56,7,Rain-Thunderstorm,167<br />
2014-6-13,77,68,58,67,61,50,93,75,57,29.97,29.85,29.81,10,8,1,28,8,36,0.46,6,Rain-Thunderstorm,266<br />
2014-6-14,72,62,52,50,48,44,89,67,44,30.15,30.10,30.00,10,10,10,17,8,23,0.00,3,,316<br />
2014-6-15,81,66,50,56,50,44,89,59,28,30.19,30.15,30.09,10,10,10,12,2,15,0.00,1,,193<br />
2014-6-16,86,74,61,71,63,55,97,76,55,30.15,30.12,30.07,10,10,7,15,4,19,0.02,6,Rain-Thunderstorm,237<br />
2014-6-17,89,78,66,69,65,62,97,70,43,30.14,30.06,29.97,10,9,5,23,8,31,0.00,5,,225<br />
2014-6-18,88,78,67,70,67,64,90,70,50,30.10,30.04,29.99,10,9,0,41,7,49,0.38,7,Rain-Thunderstorm,239<br />
2014-6-19,77,71,64,68,66,64,100,87,73,30.12,30.07,30.01,10,8,2,20,6,23,0.16,8,Rain,267<br />
2014-6-20,81,71,61,65,63,59,100,76,51,30.11,30.05,29.94,10,5,0,7,3,10,T,6,Fog-Rain,60<br />
2014-6-21,74,69,63,65,63,60,93,81,68,29.95,29.92,29.87,10,7,2,12,5,15,0.66,8,Rain,21<br />
2014-6-22,82,71,59,63,59,55,87,66,45,29.99,29.96,29.93,10,10,7,12,2,14,0.00,5,,310<br />
2014-6-23,85,74,63,70,65,62,93,72,51,30.03,30.00,29.96,10,8,5,15,6,21,T,6,Thunderstorm,160<br />
2014-6-24,86,77,68,71,67,66,97,74,51,30.03,29.98,29.92,10,10,7,21,8,30,0.57,6,Thunderstorm,202<br />
2014-6-25,78,72,66,70,68,64,97,83,69,29.97,29.93,29.90,10,8,1,16,7,19,0.48,7,Rain-Thunderstorm,276<br />
2014-6-26,80,72,63,63,62,61,93,74,54,30.07,30.03,29.98,10,7,0,13,6,18,0.00,4,Fog,323<br />
2014-6-27,85,74,62,65,62,58,93,68,43,30.14,30.11,30.07,10,10,6,8,1,11,0.00,4,Fog,30<br />
2014-6-28,88,78,68,68,65,62,84,62,40,30.21,30.17,30.14,10,10,7,12,6,16,0.00,4,,168<br />
2014-6-29,84,77,69,70,68,66,93,78,63,30.19,30.12,30.05,10,10,6,14,6,17,T,7,Rain-Thunderstorm,184<br />
2014-6-30,86,78,69,70,68,66,93,74,55,30.07,30.00,29.90,10,8,4,13,5,17,0.00,6,,217<br />
