
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-3-1,47,32,17,31,15,4,70,49,28,30.21,30.17,30.11,10,10,10,16,4,24,0.00,6,,213<br />
2014-3-2,41,27,13,31,18,0,92,73,53,30.24,30.15,30.07,10,6,0,18,11,24,0.15,8,Snow,349<br />
2014-3-3,19,13,7,1,-2,-4,63,51,39,30.44,30.36,30.26,10,10,10,21,9,25,0.00,5,,357<br />
2014-3-4,33,19,5,13,1,-4,76,49,21,30.42,30.32,30.22,10,10,10,8,3,12,0.00,6,,357<br />
2014-3-5,31,25,18,14,8,2,67,49,31,30.46,30.33,30.22,10,10,10,17,7,22,T,6,Snow,356<br />
2014-3-6,37,27,17,17,11,5,67,54,40,30.47,30.37,30.23,10,10,10,17,11,22,0.00,6,,100<br />
2014-3-7,53,39,24,31,24,16,0,0,0,30.20,30.07,29.92,10,10,10,8,4,,0.00,1,,122<br />
2014-3-8,52,41,30,35,31,26,92,71,50,30.09,30.00,29.91,10,6,2,18,8,22,0.07,7,Rain-Snow,301<br />
2014-3-9,40,29,18,25,19,14,85,61,37,30.26,30.14,29.99,10,10,7,20,8,23,T,5,Snow,282<br />
2014-3-10,58,47,36,36,29,20,60,49,38,29.99,29.80,29.67,10,10,7,21,11,31,T,6,,231<br />
2014-3-11,67,56,44,39,37,32,65,50,34,29.73,29.68,29.63,10,10,9,17,8,21,0.00,5,,259<br />
2014-3-12,50,33,15,43,31,9,96,74,52,29.82,29.42,29.13,10,5,0,39,16,49,0.62,8,Rain-Snow,360<br />
2014-3-13,27,18,10,10,4,-1,73,53,26,30.18,30.06,29.80,10,9,6,32,19,38,0.00,4,Snow,289<br />
2014-3-14,60,43,26,30,20,11,50,39,28,30.15,29.95,29.76,10,10,10,29,14,39,0.00,7,,209<br />
2014-3-15,55,44,32,41,29,23,82,61,39,30.18,29.97,29.74,10,10,7,36,14,43,0.03,5,Rain,285<br />
2014-3-16,32,28,24,23,11,3,75,56,37,30.30,30.21,30.10,10,10,10,17,11,24,0.00,6,,27<br />
2014-3-17,36,31,25,22,14,6,61,52,42,30.07,29.99,29.94,10,10,10,17,10,22,0.00,8,,81<br />
2014-3-18,52,40,27,30,26,22,78,60,41,30.10,30.05,29.99,10,10,10,16,9,20,0.00,3,,117<br />
2014-3-19,54,45,36,46,38,27,86,73,59,30.04,29.89,29.78,10,9,4,26,9,41,0.25,6,Rain,189<br />
2014-3-20,44,38,32,39,29,24,79,65,51,30.05,29.96,29.80,10,9,6,24,13,32,T,7,Rain-Snow,270<br />
2014-3-21,45,35,24,34,29,21,92,79,65,30.16,30.06,29.91,10,6,0,9,3,14,0.05,5,Snow,181<br />
2014-3-22,55,45,35,37,30,25,79,56,32,30.14,29.96,29.73,10,9,6,25,13,30,0.00,7,,290<br />
2014-3-23,36,27,18,27,16,7,78,57,36,30.36,30.22,30.09,10,10,9,21,13,26,T,6,Snow,331<br />
2014-3-24,33,23,13,11,8,6,80,56,32,30.36,30.28,30.15,10,10,7,17,5,21,0.00,4,,305<br />
2014-3-25,38,30,21,23,15,10,81,57,32,30.13,30.01,29.91,10,9,4,30,8,36,0.01,7,Snow,270<br />
2014-3-26,29,23,16,17,9,5,77,58,39,30.36,30.25,30.02,10,9,4,22,12,33,T,4,Snow,320<br />
2014-3-27,54,36,17,19,11,5,74,44,14,30.36,30.18,29.90,10,10,10,17,8,23,0.00,7,,161<br />
2014-3-28,62,51,40,48,37,19,79,53,26,30.16,29.94,29.82,10,10,8,31,14,43,T,7,Rain,234<br />
2014-3-29,56,45,33,48,39,33,96,80,64,30.18,29.93,29.72,10,7,2,25,11,32,0.65,8,Rain-Snow,25<br />
2014-3-30,48,40,31,32,28,21,96,69,41,30.16,29.99,29.81,10,8,2,30,18,38,0.04,5,Snow,326<br />
2014-3-31,62,44,26,23,19,14,75,46,17,30.26,30.18,30.14,10,10,10,10,3,14,0.00,2,,300<br />
