
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-5-1,60,56,52,57,45,33,93,67,40,29.87,29.84,29.80,10,10,3,21,9,28,0.05,7,Rain,245<br />
2014-5-2,55,52,48,40,37,34,66,57,47,29.90,29.86,29.81,10,10,10,18,9,24,T,8,,244<br />
2014-5-3,61,55,48,48,41,37,72,57,42,29.88,29.82,29.73,10,10,5,29,9,44,0.03,6,Rain-Thunderstorm,231<br />
2014-5-4,64,53,42,43,37,28,80,57,33,30.09,29.90,29.84,10,10,10,29,11,36,T,6,Rain,313<br />
2014-5-5,59,47,35,39,34,29,92,63,33,30.12,30.03,29.94,10,10,10,13,4,16,0.00,6,,140<br />
2014-5-6,69,56,43,38,35,29,76,53,29,30.06,30.01,29.94,10,10,10,13,6,20,0.00,5,,4<br />
2014-5-7,75,61,47,56,45,33,86,66,46,30.17,30.07,30.01,10,10,5,22,7,26,0.15,7,Rain-Thunderstorm,89<br />
2014-5-8,85,69,53,57,53,50,89,62,34,30.10,30.05,30.00,10,10,8,21,7,27,0.00,4,,221<br />
2014-5-9,83,72,60,59,55,51,78,56,34,30.05,29.96,29.86,10,10,10,25,10,36,T,6,,206<br />
2014-5-10,69,63,57,61,59,57,100,84,68,30.02,29.96,29.91,10,9,2,16,8,25,0.32,7,Rain-Thunderstorm,234<br />
2014-5-11,75,65,55,57,54,49,100,71,41,30.17,30.10,30.02,10,7,0,13,4,17,0.00,6,Fog,235<br />
2014-5-12,77,68,59,68,63,55,97,81,64,30.14,30.11,30.06,10,9,2,31,5,39,0.48,7,Rain-Thunderstorm,213<br />
2014-5-13,87,75,62,66,62,58,100,68,36,30.15,30.08,30.02,10,10,7,16,7,24,0.08,5,Rain-Thunderstorm,186<br />
2014-5-14,83,74,64,65,63,60,93,70,47,30.13,30.05,29.95,10,9,1,28,8,38,0.39,7,Rain-Thunderstorm,146<br />
2014-5-15,70,61,51,63,58,50,96,83,70,30.01,29.92,29.88,10,7,2,17,10,24,1.10,8,Rain,192<br />
2014-5-16,57,51,45,50,42,37,96,72,47,30.03,29.97,29.93,10,9,4,16,7,20,0.14,7,Rain,278<br />
2014-5-17,54,49,44,46,42,38,93,76,59,30.25,30.09,29.99,10,9,3,30,8,33,0.12,7,Rain,241<br />
2014-5-18,63,52,40,42,36,29,93,61,29,30.33,30.28,30.24,10,10,10,15,4,19,0.00,3,,313<br />
2014-5-19,70,54,38,42,36,32,85,55,25,30.35,30.28,30.21,10,10,10,10,1,13,0.00,1,,280<br />
2014-5-20,75,62,48,59,47,39,86,61,35,30.25,30.12,29.99,10,10,10,15,5,21,T,7,,182<br />
2014-5-21,73,66,58,63,60,56,84,73,61,29.99,29.93,29.87,10,10,9,17,6,22,T,7,Rain,228<br />
2014-5-22,78,66,53,64,57,46,100,69,38,30.04,29.91,29.86,10,7,0,24,9,31,0.00,5,Fog,263<br />
2014-5-23,65,57,49,50,46,42,89,67,44,30.16,30.07,29.98,10,10,10,23,10,29,0.00,4,,325<br />
2014-5-24,75,62,48,50,46,43,86,60,33,30.21,30.17,30.12,10,10,7,17,5,20,0.00,3,,316<br />
2014-5-25,79,64,48,51,47,44,86,59,31,30.22,30.17,30.13,10,10,10,13,2,16,0.00,1,,286<br />
2014-5-26,83,68,52,55,51,49,89,60,31,30.17,30.09,30.01,10,10,10,16,5,20,0.00,3,,250<br />
2014-5-27,84,74,63,68,63,56,93,75,57,30.01,29.95,29.91,10,9,1,33,6,47,1.31,7,Rain-Thunderstorm,248<br />
2014-5-28,81,73,65,66,64,61,93,76,58,30.04,29.98,29.92,10,9,4,17,6,23,0.15,7,Rain-Thunderstorm,265<br />
2014-5-29,78,69,60,64,60,50,93,66,39,30.11,30.06,30.01,10,8,5,15,6,21,T,6,Rain,332<br />
2014-5-30,78,68,58,57,53,48,90,63,36,30.19,30.14,30.10,10,9,5,12,6,16,T,6,Rain,23<br />
2014-5-31,79,67,54,54,50,46,0,0,0,30.25,30.21,30.18,10,10,10,9,3,,0.00,2,,69<br />
