
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-11-1,44,39,33,40,35,26,100,85,70,30.22,30.05,29.88,10,9,5,25,14,33,0.04,7,Rain,357<br />
2014-11-2,47,40,33,25,23,19,69,52,34,30.38,30.31,30.22,10,10,10,26,12,32,T,4,Snow,317<br />
2014-11-3,56,43,30,25,21,17,72,47,22,30.40,30.31,30.22,10,10,10,18,6,23,T,4,,209<br />
2014-11-4,66,56,46,43,25,21,42,31,19,30.23,30.13,30.04,10,10,10,21,10,30,0.00,7,,207<br />
2014-11-5,59,53,47,52,43,35,93,72,50,30.23,30.17,30.08,10,9,4,17,6,23,0.05,7,Rain,229<br />
2014-11-6,50,47,44,47,44,41,100,93,86,30.06,29.84,29.70,10,6,1,22,6,30,0.75,8,Rain-Thunderstorm,302<br />
2014-11-7,45,38,30,43,32,21,92,73,54,30.10,30.00,29.81,10,10,4,25,13,31,0.05,7,Rain-Snow,294<br />
2014-11-8,49,39,28,40,29,23,89,66,42,30.08,29.94,29.82,10,10,4,22,8,27,T,7,Rain,213<br />
2014-11-9,50,45,40,35,32,28,85,66,46,30.04,29.99,29.95,10,10,10,16,7,20,0.00,7,,226<br />
2014-11-10,64,51,37,35,33,31,79,54,28,30.10,30.01,29.92,10,10,10,15,6,19,0.00,6,,162<br />
2014-11-11,70,58,45,44,34,32,60,43,26,29.95,29.88,29.81,10,10,9,20,9,27,T,4,Rain,186<br />
2014-11-12,60,48,36,54,33,25,96,78,59,30.24,30.11,29.84,10,9,3,24,10,28,0.06,8,Rain,295<br />
2014-11-13,36,32,27,27,24,20,85,75,64,30.22,30.18,30.09,10,8,2,21,8,25,0.01,8,Snow,280<br />
2014-11-14,33,29,24,21,18,16,81,65,49,30.36,30.27,30.14,10,10,9,17,10,22,T,6,,275<br />
2014-11-15,36,29,22,20,16,13,81,60,38,30.46,30.39,30.30,10,10,10,13,5,17,0.00,5,,241<br />
2014-11-16,39,34,28,32,27,17,96,78,59,30.29,30.14,29.89,10,8,2,12,4,16,0.14,8,Rain-Snow,194<br />
2014-11-17,36,27,18,36,29,9,100,81,62,29.95,29.75,29.59,10,3,0,24,8,34,0.44,8,Fog-Rain-Snow,279<br />
2014-11-18,21,18,14,13,6,3,80,65,49,30.28,30.08,29.88,10,8,3,24,14,35,T,6,Snow,257<br />
2014-11-19,37,26,14,23,12,7,80,62,43,30.29,30.12,29.94,10,9,4,21,9,28,T,7,Snow,211<br />
2014-11-20,37,30,22,25,15,9,68,57,46,30.20,30.06,29.93,10,9,1,23,12,37,T,6,Snow,265<br />
2014-11-21,28,22,15,18,11,6,88,65,42,30.55,30.44,30.15,10,8,1,16,6,21,T,2,Snow,274<br />
2014-11-22,52,34,15,32,22,9,80,63,46,30.49,30.29,30.14,10,10,6,14,6,21,0.03,6,Rain,190<br />
2014-11-23,63,54,44,52,37,27,89,64,39,30.14,29.95,29.47,10,10,6,21,9,28,0.15,8,Rain,151<br />
2014-11-24,68,55,42,53,45,30,93,66,39,29.88,29.53,29.39,10,10,10,30,17,49,0.08,5,Rain,216<br />
2014-11-25,49,39,28,31,28,24,85,65,45,30.22,30.07,29.90,10,10,10,22,10,31,0.00,3,,252<br />
2014-11-26,33,31,28,32,29,25,96,84,72,30.23,30.09,30.00,10,5,1,9,4,14,0.04,8,Snow,358<br />
2014-11-27,34,31,28,31,28,24,92,87,82,30.26,30.12,29.98,10,5,1,20,8,23,0.03,8,Snow,277<br />
2014-11-28,29,26,22,24,19,13,92,75,57,30.40,30.30,30.19,10,9,1,23,10,28,0.10,7,Snow,286<br />
2014-11-29,53,40,27,39,25,19,75,56,37,30.23,30.08,29.94,10,10,10,18,8,25,0.00,7,,169<br />
2014-11-30,62,58,53,50,46,41,67,64,60,30.04,29.98,29.91,10,10,10,22,13,32,T,8,,215<br />
