
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-10-1,66,60,53,58,55,53,100,84,68,30.09,30.01,29.91,10,6,0,7,2,9,T,6,Fog-Rain,10<br />
2014-10-2,77,64,50,57,53,50,100,73,46,30.15,30.07,29.99,10,5,0,10,4,14,0.00,2,Fog,146<br />
2014-10-3,76,66,55,64,59,54,93,74,54,29.98,29.76,29.65,10,8,2,25,9,30,0.47,6,Rain,182<br />
2014-10-4,55,46,37,57,40,30,93,73,53,29.85,29.75,29.66,10,10,5,25,10,42,0.05,7,Rain,245<br />
2014-10-5,52,46,40,35,33,30,79,62,44,29.92,29.88,29.79,10,10,10,15,8,21,T,6,,213<br />
2014-10-6,65,56,46,54,47,35,93,73,52,29.90,29.84,29.79,10,10,3,20,8,27,0.23,7,Rain,186<br />
2014-10-7,66,58,49,55,51,48,93,75,56,29.95,29.86,29.76,10,10,8,21,10,31,0.13,6,Rain,204<br />
2014-10-8,63,55,47,53,46,38,96,68,39,30.08,29.95,29.82,10,10,10,24,10,31,0.00,4,,247<br />
2014-10-9,60,52,43,45,40,36,93,70,46,30.13,30.10,30.06,10,10,10,17,6,22,0.00,4,,235<br />
2014-10-10,59,51,43,49,46,42,100,79,57,30.15,30.11,30.07,10,4,0,13,4,17,0.00,8,Fog,8<br />
2014-10-11,59,52,44,41,38,35,76,58,40,30.25,30.15,30.05,10,10,10,16,9,23,0.00,6,,359<br />
2014-10-12,64,51,37,50,42,34,92,72,52,30.25,30.19,30.11,10,10,10,16,7,21,0.00,6,,109<br />
2014-10-13,72,63,54,62,56,50,89,81,73,30.15,30.10,30.04,10,10,10,13,7,18,0.01,6,Rain,147<br />
2014-10-14,79,68,57,62,58,55,90,68,45,30.03,29.86,29.70,10,10,4,28,12,40,0.28,7,Rain,145<br />
2014-10-15,65,59,53,58,55,53,100,84,67,29.87,29.83,29.77,10,9,4,12,5,16,0.35,7,Rain,136<br />
2014-10-16,59,55,51,53,52,50,100,86,72,29.79,29.76,29.74,10,10,8,12,4,15,0.01,7,Fog-Rain,236<br />
2014-10-17,69,61,52,52,50,48,100,74,47,29.78,29.71,29.61,10,10,7,22,11,28,T,7,Rain,223<br />
2014-10-18,61,53,44,48,43,38,93,77,60,30.02,29.84,29.66,10,10,7,24,15,33,0.05,8,Rain,292<br />
2014-10-19,53,47,40,36,34,32,79,62,45,30.19,30.13,30.04,10,10,10,21,8,26,T,7,,297<br />
2014-10-20,57,50,42,46,39,34,82,69,55,30.09,29.99,29.89,10,10,10,16,7,23,0.01,8,Rain,195<br />
2014-10-21,54,51,47,49,47,44,93,85,77,30.06,29.93,29.84,10,8,3,22,10,25,0.08,8,Rain,292<br />
2014-10-22,50,47,44,47,43,40,93,84,74,30.22,30.16,30.03,10,10,3,18,12,25,0.03,8,Rain,345<br />
2014-10-23,61,52,42,43,42,39,92,72,51,30.19,30.14,30.08,10,10,10,21,11,28,0.00,4,,319<br />
2014-10-24,61,49,36,42,38,35,100,70,40,30.14,30.08,30.02,10,10,10,13,3,16,0.00,4,,283<br />
2014-10-25,66,55,44,52,44,35,76,60,43,30.03,29.90,29.77,10,10,10,24,10,31,0.00,5,,240<br />
2014-10-26,62,51,39,35,31,26,65,46,27,30.00,29.91,29.81,10,10,10,23,10,28,0.00,0,,283<br />
2014-10-27,73,53,33,49,36,29,82,54,26,30.09,30.00,29.92,10,10,10,13,4,17,0.00,3,,158<br />
2014-10-28,77,65,53,60,54,48,93,68,43,29.98,29.92,29.84,10,10,10,26,13,39,0.06,7,Rain,224<br />
2014-10-29,57,49,41,46,39,34,83,63,43,30.07,30.01,29.97,10,10,10,21,9,27,0.00,6,,269<br />
2014-10-30,50,43,36,39,36,33,92,77,61,30.14,30.10,30.07,10,10,10,13,4,14,0.00,6,,285<br />
2014-10-31,46,44,41,40,38,36,93,82,70,30.06,29.95,29.86,10,9,5,8,2,,0.13,8,Rain,52<br />
