
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-9-1,83,76,69,72,69,68,97,80,63,30.04,30.00,29.94,10,9,1,16,6,22,0.21,7,Rain,207<br />
2014-9-2,81,73,65,70,68,64,93,78,62,30.01,29.95,29.87,10,10,10,23,8,29,T,6,,234<br />
2014-9-3,81,72,62,65,63,60,100,76,51,30.13,30.07,29.99,10,8,1,10,1,13,0.00,3,,237<br />
2014-9-4,84,73,61,66,63,59,97,73,48,30.15,30.12,30.09,10,10,7,10,3,13,0.00,1,,223<br />
2014-9-5,87,76,64,70,67,63,97,74,51,30.19,30.12,30.02,10,7,0,13,5,16,0.00,4,Fog,194<br />
2014-9-6,80,69,58,70,65,56,97,80,62,30.13,30.03,29.98,10,9,2,25,9,30,0.02,7,Rain,292<br />
2014-9-7,75,64,52,54,52,49,93,67,41,30.25,30.20,30.14,10,10,10,13,4,16,0.00,2,,17<br />
2014-9-8,78,66,53,58,54,52,93,68,43,30.23,30.18,30.13,10,10,10,18,9,24,0.00,2,,125<br />
2014-9-9,79,72,64,64,59,55,78,67,56,30.17,30.11,30.05,10,10,10,14,8,17,0.00,6,,142<br />
2014-9-10,83,74,64,67,64,61,93,74,55,30.06,29.96,29.81,10,10,10,18,9,27,T,7,Rain,172<br />
2014-9-11,76,66,56,68,62,53,86,78,70,30.16,29.95,29.77,10,9,1,21,12,27,0.09,8,Rain,290<br />
2014-9-12,61,58,54,53,51,48,93,80,67,30.25,30.20,30.16,10,10,5,12,6,16,T,7,Rain,20<br />
2014-9-13,65,56,46,53,49,44,100,76,52,30.35,30.19,30.07,10,10,7,20,7,26,0.01,6,Rain,301<br />
2014-9-14,65,54,42,48,44,40,100,72,44,30.38,30.31,30.23,10,9,0,8,3,12,0.00,3,Fog,260<br />
2014-9-15,68,55,42,53,46,41,100,74,48,30.28,30.19,30.06,10,10,10,15,4,19,0.00,5,,189<br />
2014-9-16,67,60,53,56,52,48,100,76,52,30.15,30.09,30.05,10,8,3,15,6,22,0.13,6,Rain,317<br />
2014-9-17,70,59,48,51,48,46,0,0,0,30.11,30.05,29.99,10,10,10,8,3,,0.00,5,,294<br />
2014-9-18,69,60,51,51,47,44,89,66,42,30.18,30.10,30.00,10,10,10,16,6,20,0.00,3,,13<br />
2014-9-19,74,62,49,55,51,47,100,73,46,30.26,30.20,30.15,10,10,10,14,7,19,0.00,2,,105<br />
2014-9-20,78,68,57,61,58,54,86,71,56,30.16,30.08,29.96,10,10,10,18,8,23,0.00,4,,184<br />
2014-9-21,80,68,55,65,57,43,87,58,28,29.93,29.79,29.65,10,10,8,30,14,37,0.02,5,Rain,233<br />
2014-9-22,58,51,43,53,44,40,83,69,55,30.32,30.12,29.88,10,10,6,21,11,27,T,6,Rain,316<br />
2014-9-23,69,54,38,47,42,37,93,65,37,30.41,30.37,30.29,10,10,10,9,2,12,0.00,1,,76<br />
2014-9-24,76,62,48,50,46,41,93,62,31,30.48,30.42,30.39,10,10,10,17,7,23,0.00,2,,118<br />
2014-9-25,74,64,53,57,53,50,93,71,49,30.39,30.34,30.27,10,10,10,12,3,15,0.00,4,,93<br />
2014-9-26,78,64,50,57,52,46,100,66,32,30.33,30.28,30.24,10,9,5,12,3,15,0.00,1,,61<br />
2014-9-27,78,65,51,55,52,48,96,68,40,30.32,30.26,30.21,10,10,10,10,3,15,0.00,2,,81<br />
2014-9-28,73,63,52,56,53,48,93,73,53,30.22,30.16,30.08,10,10,10,9,2,12,0.00,5,,218<br />
2014-9-29,80,67,53,61,55,52,93,68,42,30.06,30.00,29.92,10,10,7,12,3,17,0.00,4,,251<br />
2014-9-30,71,62,52,58,56,50,100,81,61,29.98,29.92,29.89,10,9,4,28,4,35,0.49,4,Rain-Thunderstorm,307<br />
